,support,itemsets,length
0,0.2633824477848886,frozenset({'01'}),1
1,0.2758346976236543,frozenset({'02'}),1
2,0.21560748127201468,frozenset({'03'}),1
3,0.2451753733194424,frozenset({'04'}),1
4,0.25569281143027234,frozenset({'11'}),1
5,0.24973954457508557,frozenset({'12'}),1
6,0.2472094061616312,frozenset({'13'}),1
7,0.24735823783301086,frozenset({'14'}),1
8,0.24254601379173488,frozenset({'Cabernet Sauvignon'}),1
9,0.745497841940765,frozenset({'California'}),1
10,0.24269484546311454,frozenset({'Chardonnay'}),1
11,0.02019149675050851,frozenset({'New York'}),1
12,0.11489805030510493,frozenset({'Oregon'}),1
13,0.3692017661358337,frozenset({'Pinot Noir'}),1
14,0.14555737460931686,frozenset({'Red Blend'}),1
15,0.11941261100362158,frozenset({'Washington'}),1
16,0.1374212432405616,"frozenset({'01', '11'})",2
17,0.07878156471697177,"frozenset({'01', '12'})",2
18,0.04033338294389046,"frozenset({'13', '01'})",2
19,0.0068462568834648015,"frozenset({'14', '01'})",2
20,0.07605298407501117,"frozenset({'01', 'Cabernet Sauvignon'})",2
21,0.21486332291511634,"frozenset({'California', '01'})",2
22,0.054472391724959074,"frozenset({'01', 'Chardonnay'})",2
23,0.023813067420747135,"frozenset({'01', 'Oregon'})",2
24,0.11504688197648459,"frozenset({'01', 'Pinot Noir'})",2
25,0.017810190008433795,"frozenset({'01', 'Red Blend'})",2
26,0.02455722577764548,"frozenset({'01', 'Washington'})",2
27,0.06781763159200278,"frozenset({'11', '02'})",2
28,0.08587587438606936,"frozenset({'12', '02'})",2
29,0.07932728084536389,"frozenset({'13', '02'})",2
30,0.042813910800218284,"frozenset({'14', '02'})",2
31,0.06434489259314383,"frozenset({'Cabernet Sauvignon', '02'})",2
32,0.186039589224587,"frozenset({'California', '02'})",2
33,0.06419606092176415,"frozenset({'Chardonnay', '02'})",2
34,0.0014387061566701394,"frozenset({'New York', '02'})",2
35,0.04494716475666022,"frozenset({'Oregon', '02'})",2
36,0.11033387904946172,"frozenset({'Pinot Noir', '02'})",2
37,0.03695986505928461,"frozenset({'02', 'Red Blend'})",2
38,0.04340923748573697,"frozenset({'Washington', '02'})",2
39,0.02976633427593392,"frozenset({'03', '11'})",2
40,0.04896561988391129,"frozenset({'03', '12'})",2
41,0.06419606092176415,"frozenset({'03', '13'})",2
42,0.07267946619040531,"frozenset({'03', '14'})",2
43,0.045492880885052336,"frozenset({'03', 'Cabernet Sauvignon'})",2
44,0.15081609366473187,"frozenset({'California', '03'})",2
45,0.0558118767673761,"frozenset({'03', 'Chardonnay'})",2
46,0.005357940169668105,"frozenset({'03', 'New York'})",2
47,0.028377238676390335,"frozenset({'03', 'Oregon'})",2
48,0.07759091134593442,"frozenset({'03', 'Pinot Noir'})",2
49,0.036711812273651834,"frozenset({'03', 'Red Blend'})",2
50,0.031056208761224387,"frozenset({'03', 'Washington'})",2
51,0.020687602321774072,"frozenset({'04', '11'})",2
52,0.03611648558813316,"frozenset({'04', '12'})",2
53,0.0633526814506127,"frozenset({'13', '04'})",2
54,0.12501860395892245,"frozenset({'14', '04'})",2
55,0.05665525623852756,"frozenset({'04', 'Cabernet Sauvignon'})",2
56,0.19377883613632982,"frozenset({'California', '04'})",2
57,0.06821451604901523,"frozenset({'04', 'Chardonnay'})",2
58,0.013246018752790594,"frozenset({'04', 'New York'})",2
59,0.017760579451307237,"frozenset({'04', 'Oregon'})",2
60,0.06623009376395297,"frozenset({'04', 'Pinot Noir'})",2
61,0.05407550726794662,"frozenset({'04', 'Red Blend'})",2
62,0.020389938979014734,"frozenset({'04', 'Washington'})",2
63,0.10765490896462768,"frozenset({'11', 'Cabernet Sauvignon'})",2
64,0.2153594284863819,"frozenset({'California', '11'})",2
65,0.017661358337054126,"frozenset({'Chardonnay', '11'})",2
66,0.02614476360569529,"frozenset({'11', 'Oregon'})",2
67,0.11380661804832068,"frozenset({'11', 'Pinot Noir'})",2
68,0.01656992608026988,"frozenset({'11', 'Red Blend'})",2
69,0.013841345438309272,"frozenset({'Washington', '11'})",2
70,0.044103785285508755,"frozenset({'12', 'Cabernet Sauvignon'})",2
71,0.19005804435183807,"frozenset({'California', '12'})",2
72,0.04450066974252121,"frozenset({'Chardonnay', '12'})",2
73,0.038051297316068856,"frozenset({'12', 'Oregon'})",2
74,0.13702435878354913,"frozenset({'12', 'Pinot Noir'})",2
75,0.024110730763506474,"frozenset({'12', 'Red Blend'})",2
76,0.020985265664533414,"frozenset({'Washington', '12'})",2
77,0.04430222751401498,"frozenset({'13', 'Cabernet Sauvignon'})",2
78,0.17839956342709729,"frozenset({'California', '13'})",2
79,0.08255196705859007,"frozenset({'13', 'Chardonnay'})",2
80,0.0025797489705809396,"frozenset({'13', 'New York'})",2
81,0.031205040432604057,"frozenset({'13', 'Oregon'})",2
82,0.07833506970283276,"frozenset({'13', 'Pinot Noir'})",2
83,0.04202014188619338,"frozenset({'13', 'Red Blend'})",2
84,0.035025053331348914,"frozenset({'13', 'Washington'})",2
85,0.04648509202758347,"frozenset({'14', 'Cabernet Sauvignon'})",2
86,0.16168080567544774,"frozenset({'California', '14'})",2
87,0.09798085032494915,"frozenset({'14', 'Chardonnay'})",2
88,0.01661953663739644,"frozenset({'14', 'New York'})",2
89,0.019496948950736715,"frozenset({'14', 'Oregon'})",2
90,0.04003571960113112,"frozenset({'14', 'Pinot Noir'})",2
91,0.06285657587934712,"frozenset({'14', 'Red Blend'})",2
92,0.04956094656942998,"frozenset({'14', 'Washington'})",2
93,0.20042665079128838,"frozenset({'California', 'Cabernet Sauvignon'})",2
94,0.0014387061566701394,"frozenset({'Cabernet Sauvignon', 'New York'})",2
95,0.002083643399315374,"frozenset({'Oregon', 'Cabernet Sauvignon'})",2
96,0.03859701344446098,"frozenset({'Washington', 'Cabernet Sauvignon'})",2
97,0.19804534404921367,"frozenset({'California', 'Chardonnay'})",2
98,0.2690876618544426,"frozenset({'California', 'Pinot Noir'})",2
99,0.07793818524582032,"frozenset({'California', 'Red Blend'})",2
100,0.013642903209803046,"frozenset({'Chardonnay', 'New York'})",2
101,0.01185692315324701,"frozenset({'Chardonnay', 'Oregon'})",2
102,0.01914967505085082,"frozenset({'Chardonnay', 'Washington'})",2
103,0.0023813067420747134,"frozenset({'Pinot Noir', 'New York'})",2
