,support,itemsets,length
0,0.3692017661358337,frozenset({'Pinot Noir'}),1
1,0.2633824477848886,frozenset({'01'}),1
2,0.25569281143027234,frozenset({'11'}),1
3,0.11489805030510493,frozenset({'Oregon'}),1
4,0.745497841940765,frozenset({'California'}),1
5,0.24973954457508557,frozenset({'12'}),1
6,0.2758346976236543,frozenset({'02'}),1
7,0.2472094061616312,frozenset({'13'}),1
8,0.21560748127201468,frozenset({'03'}),1
9,0.24735823783301086,frozenset({'14'}),1
10,0.2451753733194424,frozenset({'04'}),1
11,0.02019149675050851,frozenset({'New York'}),1
12,0.11941261100362158,frozenset({'Washington'}),1
13,0.24269484546311454,frozenset({'Chardonnay'}),1
14,0.24254601379173488,frozenset({'Cabernet Sauvignon'}),1
15,0.14555737460931686,frozenset({'Red Blend'}),1
16,0.2690876618544426,"frozenset({'California', 'Pinot Noir'})",2
17,0.11504688197648459,"frozenset({'01', 'Pinot Noir'})",2
18,0.21486332291511634,"frozenset({'California', '01'})",2
19,0.09500421689735576,"frozenset({'California', '01', 'Pinot Noir'})",3
20,0.1374212432405616,"frozenset({'01', '11'})",2
21,0.11380661804832068,"frozenset({'11', 'Pinot Noir'})",2
22,0.2153594284863819,"frozenset({'California', '11'})",2
23,0.06781763159200278,"frozenset({'11', '02'})",2
24,0.11757702038993897,"frozenset({'California', '01', '11'})",3
25,0.06241008086520811,"frozenset({'01', '11', 'Pinot Noir'})",3
26,0.08954705561343454,"frozenset({'California', '11', 'Pinot Noir'})",3
27,0.05214069554001091,"frozenset({'California', '01', '11', 'Pinot Noir'})",4
28,0.030560103189958825,"frozenset({'11', 'Pinot Noir', '02'})",3
29,0.05199186386863124,"frozenset({'California', '11', '02'})",3
30,0.019794612293496057,"frozenset({'California', '11', 'Pinot Noir', '02'})",4
31,0.09728630252517735,"frozenset({'Oregon', 'Pinot Noir'})",2
32,0.02614476360569529,"frozenset({'11', 'Oregon'})",2
33,0.023813067420747135,"frozenset({'01', 'Oregon'})",2
34,0.038051297316068856,"frozenset({'12', 'Oregon'})",2
35,0.04494716475666022,"frozenset({'Oregon', '02'})",2
36,0.031205040432604057,"frozenset({'13', 'Oregon'})",2
37,0.028377238676390335,"frozenset({'03', 'Oregon'})",2
38,0.019496948950736715,"frozenset({'14', 'Oregon'})",2
39,0.017760579451307237,"frozenset({'04', 'Oregon'})",2
40,0.01185692315324701,"frozenset({'Chardonnay', 'Oregon'})",2
41,0.002083643399315374,"frozenset({'Oregon', 'Cabernet Sauvignon'})",2
42,0.0036711812273651835,"frozenset({'Oregon', 'Red Blend'})",2
43,0.024259562434886143,"frozenset({'11', 'Oregon', 'Pinot Noir'})",3
44,0.010914322567842437,"frozenset({'11', 'Oregon', '02'})",3
45,0.0021332539564419307,"frozenset({'03', '11', 'Oregon'})",3
46,0.010765490896462768,"frozenset({'11', 'Oregon', 'Pinot Noir', '02'})",4
47,0.0021332539564419307,"frozenset({'03', '11', 'Oregon', 'Pinot Noir'})",4
48,0.019943443964875726,"frozenset({'01', 'Oregon', 'Pinot Noir'})",3
49,0.011956144267500125,"frozenset({'01', '11', 'Oregon'})",3
50,0.008334573597261497,"frozenset({'01', '12', 'Oregon'})",3
51,0.0033239073274792877,"frozenset({'13', '01', 'Oregon'})",3
52,0.010269385325197201,"frozenset({'01', '11', 'Oregon', 'Pinot Noir'})",4
53,0.007491194126110036,"frozenset({'01', 'Oregon', 'Pinot Noir', '12'})",4
54,0.0021828645135684873,"frozenset({'13', '01', 'Oregon', 'Pinot Noir'})",4
55,0.03562038001686759,"frozenset({'Oregon', 'Pinot Noir', '12'})",3
56,0.01855434836533214,"frozenset({'12', 'Oregon', '02'})",3
57,0.01771096889418068,"frozenset({'12', 'Oregon', 'Pinot Noir', '02'})",4
58,0.04003571960113112,"frozenset({'Pinot Noir', 'Oregon', '02'})",3
59,0.025053331348911047,"frozenset({'13', 'Oregon', 'Pinot Noir'})",3
60,0.010567048667956542,"frozenset({'13', 'Oregon', '02'})",3
61,0.008334573597261497,"frozenset({'Pinot Noir', '13', 'Oregon', '02'})",4
62,0.0243091729920127,"frozenset({'03', 'Oregon', 'Pinot Noir'})",3
63,0.01131120702485489,"frozenset({'03', '13', 'Oregon'})",3
64,0.008235352483008385,"frozenset({'03', '12', 'Oregon'})",3
65,0.009773279753931637,"frozenset({'03', '13', 'Oregon', 'Pinot Noir'})",4
66,0.00788807858312249,"frozenset({'03', 'Oregon', 'Pinot Noir', '12'})",4
67,0.012353028724512577,"frozenset({'14', 'Oregon', 'Pinot Noir'})",3
68,0.0066974252120851315,"frozenset({'03', '14', 'Oregon'})",3
69,0.004911445155529097,"frozenset({'14', 'Oregon', '02'})",3
70,0.004514560698516645,"frozenset({'03', '14', 'Oregon', 'Pinot Noir'})",4
71,0.0032246862132261746,"frozenset({'Pinot Noir', '14', 'Oregon', '02'})",4
72,0.01299796596715781,"frozenset({'04', 'Oregon', 'Pinot Noir'})",3
73,0.007689636354616262,"frozenset({'14', '04', 'Oregon'})",3
74,0.0029270228704668354,"frozenset({'04', '12', 'Oregon'})",3
75,0.00600287741231334,"frozenset({'13', '04', 'Oregon'})",3
76,0.0011410428139108002,"frozenset({'04', '11', 'Oregon'})",3
77,0.004613781812769758,"frozenset({'14', '04', 'Oregon', 'Pinot Noir'})",4
78,0.002530138413454383,"frozenset({'04', 'Oregon', 'Pinot Noir', '12'})",4
79,0.004762613484149427,"frozenset({'13', '04', 'Oregon', 'Pinot Noir'})",4
80,0.0010914322567842436,"frozenset({'04', '11', 'Oregon', 'Pinot Noir'})",4
81,0.0032246862132261746,"frozenset({'01', 'Chardonnay', 'Oregon'})",3
82,0.0012898744852904698,"frozenset({'Chardonnay', '11', 'Oregon'})",3
83,0.0043161184700104185,"frozenset({'14', 'Chardonnay', 'Oregon'})",3
84,0.0038696234558714096,"frozenset({'Chardonnay', 'Oregon', '02'})",3
85,0.0044153395842635315,"frozenset({'13', 'Chardonnay', 'Oregon'})",3
86,0.0018355906136825917,"frozenset({'Chardonnay', '12', 'Oregon'})",3
87,0.0027781911990871658,"frozenset({'03', 'Chardonnay', 'Oregon'})",3
88,0.001984422285062261,"frozenset({'04', 'Chardonnay', 'Oregon'})",3
89,0.0011410428139108002,"frozenset({'13', '01', 'Chardonnay', 'Oregon'})",4
90,0.0011906533710373567,"frozenset({'01', 'Chardonnay', '11', 'Oregon'})",4
91,0.0012402639281639133,"frozenset({'14', 'Chardonnay', 'Oregon', '02'})",4
92,0.0017859800565560352,"frozenset({'13', 'Chardonnay', 'Oregon', '02'})",4
93,0.0013394850424170263,"frozenset({'03', '14', 'Chardonnay', 'Oregon'})",4
94,0.0010914322567842436,"frozenset({'03', '13', 'Chardonnay', 'Oregon'})",4
95,0.0015379272709232525,"frozenset({'14', '04', 'Chardonnay', 'Oregon'})",4
96,0.0012402639281639133,"frozenset({'04', 'Oregon', 'Cabernet Sauvignon'})",3
97,0.0021332539564419307,"frozenset({'14', 'Oregon', 'Red Blend'})",3
98,0.0012898744852904698,"frozenset({'03', 'Oregon', 'Red Blend'})",3
99,0.0010914322567842436,"frozenset({'13', 'Oregon', 'Red Blend'})",3
